time,open,high,low,close,Buy,Sell,StopBuy,StopSell,Shapes,Chars
1712649600000,70000.0,70150.0,69880.0,70080.0,,,,,,
1712650500000,70080.0,70220.0,69950.0,70110.0,,,,,,
1712651400000,70110.0,70280.0,70010.0,70190.0,,,,,,
1712652300000,70190.0,70310.0,70080.0,70220.0,,,,,,
1712653200000,70220.0,70380.0,70120.0,70310.0,,,,,,
1712654100000,70310.0,70450.0,70190.0,70260.0,,,,,,
1712655000000,70260.0,70320.0,70090.0,70140.0,,,,,,
1712655900000,70140.0,70240.0,70040.0,70190.0,,,,,,
1712656800000,70190.0,70410.0,70150.0,70370.0,,,,,,
1712657700000,70370.0,70550.0,70280.0,70420.0,,,,,,
1712658600000,70420.0,70510.0,70290.0,70330.0,,,,,,
1712659500000,70330.0,70440.0,70180.0,70210.0,,,,,,
1712660400000,70210.0,70380.0,70110.0,70340.0,,,,,,
1712661300000,70340.0,70520.0,70260.0,70490.0,,,,,,
1712662200000,70490.0,70610.0,70390.0,70570.0,,,,,,
1712663100000,70570.0,70720.0,70450.0,70610.0,,,,,,
1712664000000,70610.0,70710.0,70480.0,70500.0,,,,,,
1712664900000,70500.0,70620.0,70360.0,70420.0,,,,,,
1712665800000,70420.0,70630.0,70380.0,70580.0,,,,,,
1712666700000,70580.0,70780.0,70490.0,70710.0,,,,,,
